Date,Ship,Line,Arrival,Departure,Terminal
4/7/23,MS Rotterdam,Holland America Line,---,4:00 PM,MCT
4/8/23,Amera,Phoenix Reisen Cruises,9:00 AM,---,MCT
4/9/23,Amera,Phoenix Reisen Cruises,---,5:00 PM,MCT
4/9/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
4/9/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/15/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
4/15/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,N/A,MCT
4/16/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
4/16/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/18/23,Norwegian Sun,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/19/23,Viking Octantis,Viking Expedition Cruises,7:00 AM,10:00 PM,MCT
4/20/23,Costa Deliziosa,Costa Cruises,8:00 AM,---,MCT
4/20/23,MSC Meraviglia,MSC Cruises,6:30 AM,---,BCT
4/20/23,Norwegian Breakaway,Norwegian Cruise Line,6:30 AM,5:00 PM,MCT
4/20/23,Norwegian Dawn,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
4/21/23,Costa Deliziosa,Costa Cruises,---,6:00 PM,MCT
4/21/23,MSC Meraviglia,MSC Cruises,---,---,BCT
4/22/23,MSC Meraviglia,MSC Cruises,---,3:00 PM,BCT
4/22/23,Norwegian Epic,Norwegian Cruise Line,8:30 AM,7:30 PM,MCT
4/22/23,Ocean Explorer,Vantage Travel,N/A,---,MCT
4/23/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
4/23/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/23/23,Ocean Explorer,Vantage Travel,---,N/A,MCT
4/29/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
4/30/23,Enchantment of the Seas,Royal Caribbean,N/A,5:00 PM,CLCP
4/30/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/30/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
5/1/23,Anthem of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
5/4/23,Liberty of the Seas,Royal Caribbean,N/A,3:00 PM,CLCP
5/6/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
5/7/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
5/7/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
5/7/23,Oasis of the Seas,Royal Caribbean,N/A,4:00 PM,CLCP
5/13/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
5/14/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
5/14/23,Norwegian Joy,Norwegian Cruise Line,N/A,11:00 PM,MCT
5/14/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
5/14/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
5/15/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
